id;adm_lb_nom;sup_id;emr_lb_systeme;emr_dt;sta_nm_dpt;code_insee;generation;date_maj;sta_nm_anfr;nat_id;sup_nm_haut;tpo_id;adr_lb_lieu;adr_lb_add1;adr_lb_add2;adr_lb_add3;adr_nm_cp;com_cd_insee;coordonnees;coord;statut
155450;ORANGE;103853;5G NR 3500;;075;75112;5G;2023-01-18;0752290188;38;40;28;"";18 Bd de Picpus;"";"";75012;75112;"48.840555555556, 2.401111111111";48°50'26''N 2°24'4''E;Projet approuvé
155460;ORANGE;103929;5G NR 3500;;075;75112;5G;2023-01-18;0752290228;38;35;28;"";278 r du faubourg st antoine;"";"";75012;75112;"48.848333333333, 2.393888888889";48°50'54''N 2°23'38''E;Projet approuvé
162536;ORANGE;57935;5G NR 3500;;075;75119;5G;2023-01-18;0752290185;38;18.4;22;"";23 r michel hidalgo;"";"";75019;75119;"48.881388888889, 2.390555555556";48°52'53''N 2°23'26''E;Projet approuvé
171094;ORANGE;439752;5G NR 3500;;075;75112;5G;2023-01-18;0752291426;38;25;9;"";9 r de reuilly;"";"";75012;75112;"48.849166666667, 2.385555555556";48°50'57''N 2°23'8''E;Projet approuvé
172014;ORANGE;440178;5G NR 3500;;075;75111;5G;2023-01-18;0752291425;17;24;2;"";17 imp truillot;"";"";75011;75111;"48.86, 2.373888888889";48°51'36''N 2°22'26''E;Projet approuvé
172125;ORANGE;439210;5G NR 3500;;075;75112;5G;2023-01-18;0752291423;38;59;28;"";163 r de charenton;"";"";75012;75112;"48.845, 2.384722222222";48°50'42''N 2°23'5''E;Projet approuvé
172155;ORANGE;439228;5G NR 3500;;075;75108;5G;2023-01-18;0752291167;38;38;15;"";31 Av. des Champs Elysées;r de marignan;"";75008;75108;"48.869722222222, 2.306944444444";48°52'11''N 2°18'25''E;Projet approuvé
173979;ORANGE;403351;5G NR 3500;;075;75117;5G;2023-01-18;0752291392;17;24;9;"";112 r des moines;"";"";75017;75117;"48.892777777778, 2.323055555556";48°53'34''N 2°19'23''E;Projet approuvé
184809;ORANGE;525744;5G NR 3500;;075;75109;5G;2023-01-18;0752290068;38;34;19;"";33 r rodier;"";"";75009;75109;"48.879444444444, 2.343055555556";48°52'46''N 2°20'35''E;Projet approuvé
185986;ORANGE;532191;5G NR 3500;;075;75110;5G;2023-01-18;0752290253;38;35;9;"";14-28 r des ecluses st martin;"";"";75010;75110;"48.876944444444, 2.366666666667";48°52'37''N 2°22'0''E;Projet approuvé
188760;ORANGE;501311;5G NR 3500;;075;75107;5G;2023-01-18;0752290266;17;36;9;"";284 bd st- germain;"";"";75007;75107;"48.861666666667, 2.320555555556";48°51'42''N 2°19'14''E;Projet approuvé
193773;ORANGE;571047;5G NR 3500;;075;75103;5G;2023-01-18;0752290167;38;33;9;"";107 r de Turenne;"";"";75003;75103;"48.862222222222, 2.364444444444";48°51'44''N 2°21'52''E;Projet approuvé
194007;ORANGE;571753;5G NR 3500;;075;75118;5G;2023-01-18;0752290281;38;44.5;28;"";6-8 r des Portes Blanches;Quartier Marcadet-Poissonniers;"";75018;75118;"48.891944444444, 2.350833333333";48°53'31''N 2°21'3''E;Projet approuvé
194023;ORANGE;579309;5G NR 3500;;075;75104;5G;2023-01-18;0752291483;17;53;15;"";"32, 38 R DU RENARD";CENTRE GEORGES POMPIDOU;BEAUBOURG;75004;75104;"48.860555555556, 2.352222222222";48°51'38''N 2°21'8''E;Projet approuvé
194975;ORANGE;580684;5G NR 3500;;075;75112;5G;2023-01-18;0752290258;38;39;28;"";220/222 r du faubourg st antoine;"";"";75012;75112;"48.849444444444, 2.3875";48°50'58''N 2°23'15''E;Projet approuvé
196491;ORANGE;563459;5G NR 3500;;075;75101;5G;2023-01-18;0752290217;38;33;15;"";75 r St-Honoré;6 r des Pyramides;"";75001;75101;"48.864166666667, 2.332777777778";48°51'51''N 2°19'58''E;Projet approuvé
199433;ORANGE;554163;5G NR 3500;;075;75106;5G;2023-01-18;0752290487;38;36.4;9;"";9 R de Littre;"";"";75006;75106;"48.845555555556, 2.324166666667";48°50'44''N 2°19'27''E;Projet approuvé
202144;ORANGE;542880;5G NR 3500;;075;75115;5G;2023-01-18;0752291443;17;31.7;15;"";61-65 r dutot;"";"";75015;75115;"48.838055555556, 2.308333333333";48°50'17''N 2°18'30''E;Projet approuvé
